,geometry,LATITUDE,LONGITUDE,CURRENT_SIZE,FIRE_NUMBER,FIRE_YEAR,IGNITION_DATE,FIRE_OUT_DATE,FIRE_CAUSE,FIRE_CENTRE
0,POINT (-123.2310166387507 53.06800574136247),53.068000000000005,-123.23100000000001,1812.9,C00002,1950,1950-06-01 07:00:00,1950-06-04 00:36:00,Lightning,Cariboo Fire Centre
1,POINT (-120.92701761982865 56.568006151664456),56.568000000000005,-120.927,76922.703,G00019,1950,1950-06-02 01:00:00,1950-06-02 19:12:00,Unknown,Prince George Fire Centre
2,POINT (-120.87601716892082 55.53900612805127),55.539,-120.876,1424.4,G00022,1950,1950-06-02 18:00:00,1950-06-02 20:00:00,Person,Prince George Fire Centre
3,POINT (-121.37601742817664 55.93400607255134),55.934000000000005,-121.376,2428.1,G00020,1950,1950-06-02 19:00:00,1950-06-03 01:30:00,Person,Prince George Fire Centre
4,POINT (-131.92202111531486 59.8760045728856),59.876000000000005,-131.922,12949.9,G00026,1950,1950-06-04 07:00:00,1950-06-04 15:00:00,Person,Prince George Fire Centre
5,POINT (-120.9800175443587 56.37600613897018),56.376000000000005,-120.98,1902.0,G00033,1950,1950-06-12 20:00:00,1950-06-12 20:42:00,Person,Prince George Fire Centre
6,POINT (-122.81601838891343 57.463005911620876),57.463,-122.816,2071.9,G00035,1950,1950-06-14 07:00:00,1950-06-14 07:30:00,Lightning,Prince George Fire Centre
7,POINT (-133.22802093749118 59.31800437767839),59.318000000000005,-133.228,5179.900000000001,R00029,1950,1950-06-22 07:00:00,1950-06-22 07:00:00,Lightning,Northwest Fire Centre
8,POINT (-123.62601775470557 55.76000576343392),55.76,-123.626,1294.9,G00081,1950,1950-07-04 21:00:00,1950-07-05 19:00:00,Lightning,Prince George Fire Centre
9,POINT (-119.55401478122592 49.039006003823864),49.039,-119.554,1288.9,K00236,1950,1950-07-12 21:00:00,1950-07-12 23:48:00,Person,Kamloops Fire Centre
10,POINT (-122.07001793406673 56.789006000878686),56.789,-122.07000000000001,99767.297,G00113,1950,1950-07-29 07:00:00,1950-07-29 07:00:00,Person,Prince George Fire Centre
11,POINT (-121.82001785322427 56.71300603342357),56.713,-121.82000000000001,1035.9,G00118,1950,1950-07-29 20:00:00,1950-07-29 23:06:00,Unknown,Prince George Fire Centre
12,POINT (-121.32001779400382 56.78900610389506),56.789,-121.32000000000001,76663.703,G00133,1950,1950-08-26 18:00:00,1950-08-26 20:36:00,Unknown,Prince George Fire Centre
13,POINT (-120.62601723809424 55.818006169687095),55.818000000000005,-120.626,2929.9,G00146,1950,1950-09-20 07:00:00,1950-09-20 07:00:00,Person,Prince George Fire Centre
14,POINT (-120.48001731626726 56.0680061973524),56.068000000000005,-120.48,3366.9,G00152,1950,1950-09-20 07:00:00,1950-09-20 07:00:00,Unknown,Prince George Fire Centre
15,POINT (-120.73001731849158 55.963006160552155),55.963,-120.73,23067.100000000002,G00151,1950,1950-09-20 07:00:00,1950-09-20 07:00:00,Unknown,Prince George Fire Centre
16,POINT (-120.48001747462453 56.43400620796756),56.434000000000005,-120.48,7510.900000000001,G00155,1950,1950-09-21 21:00:00,1950-09-26 03:00:00,Person,Prince George Fire Centre
17,POINT (-120.73001747189771 56.318006170897704),56.318000000000005,-120.73,1968.3,G00153,1950,1950-09-22 17:00:00,1950-09-23 13:30:00,Unknown,Prince George Fire Centre
18,POINT (-122.05401520974253 49.039005720086834),49.039,-122.054,1974.8,V00088,1951,1951-04-01 07:00:00,1951-04-01 07:30:00,Person,Costal Fire Centre
19,POINT (-130.7290199937491 58.18400476826734),58.184000000000005,-130.729,12949.9,R00038,1951,1951-05-15 07:00:00,1951-06-08 02:30:00,Person,Northwest Fire Centre
20,POINT (-131.13201810022784 53.96300471005239),53.963,-131.132,40144.801,R00037,1951,1951-05-20 07:00:00,1951-05-22 07:00:00,Person,Northwest Fire Centre
21,POINT (-127.43701642172536 50.463005135050864),50.463,-127.43700000000001,1596.8,V00192,1951,1951-06-16 01:00:00,1951-06-16 03:24:00,Person,Costal Fire Centre
22,POINT (-131.88501748816424 52.06800459718836),52.068000000000005,-131.88500000000002,4760.7,R00050,1951,1951-06-19 21:00:00,1951-06-19 23:30:00,Person,Northwest Fire Centre
23,POINT (-125.55401599922521 49.934005347373954),49.934000000000005,-125.554,9105.4,V00247,1951,1951-06-21 22:00:00,1951-06-30 22:48:00,Person,Costal Fire Centre
24,POINT (-118.63801519389102 51.126006224051046),51.126000000000005,-118.638,4597.2,K00073,1951,1951-06-29 07:00:00,1951-07-02 03:00:00,Lightning,Kamloops Fire Centre
25,POINT (-124.04401633692419 51.7890055957578),51.789,-124.04400000000001,2832.8,C00071,1951,1951-07-01 07:00:00,1951-07-01 07:00:00,Unknown,Cariboo Fire Centre
26,POINT (-116.79901466897675 50.539006404094856),50.539,-116.799,1029.9,N00079,1951,1951-07-19 07:00:00,1951-07-29 08:30:00,Lightning,Southeast Fire Centre
27,POINT (-118.88801526576356 51.21300619821667),51.213,-118.888,3136.3,K00163,1951,1951-07-22 00:00:00,1951-07-27 13:06:00,Lightning,Kamloops Fire Centre
28,POINT (-116.48201456144953 50.37600642949549),50.376000000000005,-116.482,1108.8,N00136,1951,1951-07-24 02:00:00,1951-08-01 14:04:00,Lightning,Southeast Fire Centre
29,POINT (-117.04901470986239 50.51000637379833),50.51,-117.049,1165.4,N00163,1951,1951-07-24 04:00:00,1951-08-02 04:12:00,Lightning,Southeast Fire Centre
30,POINT (-124.43501644634333 51.93400555221225),51.934000000000005,-124.435,2298.6,C00061,1951,1951-07-27 07:00:00,1951-07-27 07:00:00,Unknown,Cariboo Fire Centre
31,POINT (-121.18501561911573 51.0100059151501),51.01,-121.185,1691.5,K00312,1951,1951-07-29 07:00:00,1951-08-02 07:00:00,Lightning,Kamloops Fire Centre
32,POINT (-120.4370153276659 50.46300597813177),50.463,-120.43700000000001,2377.5,K00253,1951,1951-07-31 23:00:00,1951-08-02 00:36:00,Unknown,Kamloops Fire Centre
33,POINT (-119.84101551798113 51.463006097696706),51.463,-119.84100000000001,1042.0,K00251,1951,1951-08-01 07:00:00,1951-08-01 07:06:00,Lightning,Kamloops Fire Centre
34,POINT (-118.1880145544257 49.1260061612147),49.126000000000005,-118.188,2670.9,N00153,1951,1951-08-03 07:00:00,1951-08-03 08:18:00,Person,Southeast Fire Centre
35,POINT (-115.73301407433273 49.09700642880832),49.097,-115.733,3399.3,N00269,1951,1951-08-03 07:00:00,1951-08-07 12:00:00,Lightning,Southeast Fire Centre
36,POINT (-117.98301449415652 49.03900617859916),49.039,-117.983,3860.7000000000003,N00167,1951,1951-08-04 19:00:00,1951-08-04 22:36:00,Person,Southeast Fire Centre
37,POINT (-119.88801548271452 51.318006085109),51.318000000000005,-119.888,3755.4,K00444,1951,1951-08-11 07:00:00,1951-08-31 03:30:00,Lightning,Kamloops Fire Centre
38,POINT (-126.34501629228338 50.53900527174489),50.539,-126.34500000000001,5007.900000000001,V00557,1951,1951-08-21 03:00:00,1951-08-21 04:24:00,Unknown,Costal Fire Centre
39,POINT (-124.05401578294394 49.963005527695735),49.963,-124.054,8583.3,V00554,1951,1951-08-22 07:00:00,1951-08-22 14:17:00,Lightning,Costal Fire Centre
40,POINT (-124.3450159961091 50.539005514964366),50.539,-124.345,1303.0,V00604,1951,1951-08-24 07:00:00,1951-08-28 07:00:00,Lightning,Costal Fire Centre
41,POINT (-124.23301580156892 49.93400550534809),49.934000000000005,-124.233,1511.5,V00601,1951,1951-08-29 05:00:00,1951-08-31 16:10:00,Unknown,Costal Fire Centre
42,POINT (-123.98101640958137 52.03900561255704),52.039,-123.98100000000001,4653.8,C00152,1951,1951-09-03 07:00:00,1951-09-07 07:00:00,Unknown,Cariboo Fire Centre
43,POINT (-123.68201683405944 53.40500569332491),53.405,-123.682,1821.0,C00200,1951,1951-09-05 07:00:00,1951-09-07 07:06:00,Unknown,Cariboo Fire Centre
44,POINT (-124.09901557335441 49.18400549096111),49.184000000000005,-124.099,2622.3,V00614,1951,1951-09-15 19:00:00,1951-09-22 23:36:00,Person,Costal Fire Centre
45,POINT (-124.595015960403 50.28900547595619),50.289,-124.59500000000001,2294.5,V00649,1951,1951-09-20 03:00:00,1951-09-20 04:42:00,Person,Costal Fire Centre
46,POINT (-131.06601988873732 57.90500471942847),57.905,-131.066,9761.0,R00040,1952,1952-04-01 07:00:00,1952-04-01 07:00:00,Unknown,Northwest Fire Centre
47,POINT (-121.37601728610149 55.597006062800254),55.597,-121.376,1659.2,G00020,1952,1952-05-08 07:00:00,1952-05-08 07:00:00,Unknown,Prince George Fire Centre
48,POINT (-131.72901982576454 57.626004622713005),57.626000000000005,-131.729,2201.4,R00052,1952,1952-06-24 22:00:00,1952-06-24 22:06:00,Person,Northwest Fire Centre
49,POINT (-126.34501614345568 50.03900525570645),50.039,-126.34500000000001,2225.7000000000003,V00124,1952,1952-07-15 07:00:00,1952-07-16 08:23:00,Lightning,Costal Fire Centre
50,POINT (-126.62601802490694 55.26000534195951),55.26,-126.626,1440.6000000000001,R00053,1952,1952-07-24 00:00:00,1952-07-26 20:42:00,Lightning,Northwest Fire Centre
51,POINT (-126.52301830087163 55.934005366635525),55.934000000000005,-126.52300000000001,2747.8,G00188,1952,1952-08-01 07:00:00,1952-08-01 07:48:00,Lightning,Prince George Fire Centre
52,POINT (-119.185015484072 51.742006189881614),51.742000000000004,-119.185,2395.7000000000003,K00275,1952,1952-08-05 18:00:00,1952-08-08 20:05:00,Lightning,Kamloops Fire Centre
53,POINT (-125.48101743653132 54.24200547851546),54.242000000000004,-125.48100000000001,6276.6,R00065,1952,1952-08-09 21:00:00,1952-08-12 03:12:00,Lightning,Northwest Fire Centre
54,POINT (-123.89401570077166 49.760005538957984),49.76,-123.894,1388.0,V00477,1952,1952-09-14 23:00:00,1952-09-14 23:06:00,Person,Costal Fire Centre
55,POINT (-124.14601546728252 48.760005467661685),48.76,-124.146,1149.3,V00475,1952,1952-09-19 22:00:00,1952-09-20 17:04:00,Unknown,Costal Fire Centre
56,POINT (-123.73201620685222 51.53900562654725),51.539,-123.732,1683.4,C00124,1952,1952-09-22 07:00:00,1952-09-22 07:00:00,Unknown,Cariboo Fire Centre
57,POINT (-124.04401625676259 51.53900558723853),51.539,-124.04400000000001,1165.4,C00126,1952,1952-09-22 07:00:00,1952-09-22 07:00:00,Unknown,Cariboo Fire Centre
58,POINT (-121.92501833025968 57.684006041371575),57.684000000000005,-121.92500000000001,7834.7,G00043,1953,1953-05-01 07:00:00,1953-05-01 07:06:00,Unknown,Prince George Fire Centre
59,POINT (-121.07001742852758 56.06800611801096),56.068000000000005,-121.07000000000001,1214.0,G00006,1953,1953-05-05 19:00:00,1953-05-05 19:00:00,Unknown,Prince George Fire Centre
60,POINT (-121.37601728610149 55.597006062800254),55.597,-121.376,1902.0,G00013,1955,1955-05-14 07:00:00,1955-05-14 07:12:00,Unknown,Prince George Fire Centre
61,POINT (-120.77301731437515 55.934006153979304),55.934000000000005,-120.77300000000001,4548.6,G00037,1955,1955-06-05 07:00:00,1955-06-10 20:00:00,Person,Prince George Fire Centre
62,POINT (-122.7300181361805 56.96300591359587),56.963,-122.73,1214.0,G00047,1955,1955-06-10 21:00:00,1955-06-28 01:06:00,Person,Prince George Fire Centre
63,POINT (-120.8740176615474 56.68400616141951),56.684000000000005,-120.87400000000001,1618.7,G00141,1955,1955-09-03 07:00:00,1955-09-03 07:12:00,Unknown,Prince George Fire Centre
64,POINT (-125.62401859024452 56.876005505142935),56.876000000000005,-125.62400000000001,1011.7,G00104,1956,1955-12-31 08:00:00,1955-12-31 08:00:00,Person,Prince George Fire Centre
65,POINT (-124.98001832787405 56.53900559079473),56.539,-124.98,2832.8,G00108,1956,1955-12-31 08:00:00,1955-12-31 08:00:00,Person,Prince George Fire Centre
66,POINT (-122.72901907719843 58.847005948291134),58.847,-122.729,16187.4,G00128,1956,1956-05-02 07:00:00,1956-05-02 12:06:00,Person,Prince George Fire Centre
67,POINT (-121.32501727636428 55.59700606981928),55.597,-121.325,1942.4,G00041,1956,1956-05-09 19:00:00,1956-05-09 19:30:00,Unknown,Prince George Fire Centre
68,POINT (-121.0700175359869 56.318006124955104),56.318000000000005,-121.07000000000001,1659.2,G00038,1956,1956-05-09 20:00:00,1956-05-09 21:06:00,Person,Prince George Fire Centre
69,POINT (-124.38201685677014 53.15500559581923),53.155,-124.382,1173.5,C00013,1956,1956-05-10 07:00:00,1956-05-10 07:00:00,Unknown,Cariboo Fire Centre
70,POINT (-122.7290186857621 58.09700593547581),58.097,-122.729,5260.900000000001,G00163,1956,1956-05-10 07:00:00,1956-05-10 07:00:00,Person,Prince George Fire Centre
71,POINT (-123.833016717593 53.010005662420504),53.01,-123.83300000000001,1323.3,C00014,1956,1956-05-12 07:00:00,1956-05-12 07:00:00,Unknown,Cariboo Fire Centre
72,POINT (-125.08301697817427 53.1840055056373),53.184000000000005,-125.08300000000001,2330.9,R00054,1956,1956-05-12 07:00:00,1956-05-12 09:00:00,Person,Northwest Fire Centre
73,POINT (-125.42501874097073 57.26000553888141),57.26,-125.42500000000001,2832.8,G00106,1956,1956-05-12 14:00:00,1956-05-12 20:00:00,Person,Prince George Fire Centre
74,POINT (-123.562018867622 58.15500581739076),58.155,-123.56200000000001,60702.898,G00126,1956,1956-05-13 07:00:00,1956-05-13 10:00:00,Unknown,Prince George Fire Centre
75,POINT (-122.67701802412478 56.7420059159443),56.742000000000004,-122.677,1068.3,G00026,1956,1956-05-13 07:00:00,1956-05-13 07:00:00,Person,Prince George Fire Centre
76,POINT (-121.98001753821167 55.9340059915341),55.934000000000005,-121.98,2488.8,G00050,1956,1956-05-13 23:00:00,1956-05-14 21:30:00,Person,Prince George Fire Centre
77,POINT (-122.72901907719843 58.847005948291134),58.847,-122.729,1185.7,G00092,1956,1956-05-15 17:00:00,1956-05-24 01:00:00,Unknown,Prince George Fire Centre
78,POINT (-125.17301946875244 58.76000559158362),58.76,-125.173,14447.2,G00144,1956,1956-05-16 07:00:00,1956-05-17 12:00:00,Unknown,Prince George Fire Centre
79,POINT (-121.12601728706724 55.7130061000806),55.713,-121.126,4103.5,G00062,1956,1956-05-16 21:00:00,1956-05-18 01:00:00,Person,Prince George Fire Centre
80,POINT (-123.63201684655397 53.46300570197128),53.463,-123.632,2784.2000000000003,G00053,1956,1956-05-16 22:00:00,1956-06-04 04:00:00,Person,Prince George Fire Centre
81,POINT (-125.49001685300261 52.65500543917073),52.655,-125.49000000000001,1473.0,C00064,1956,1956-05-18 07:00:00,1956-05-23 04:30:00,Person,Cariboo Fire Centre
82,POINT (-122.51701796767654 56.684005936720105),56.684000000000005,-122.51700000000001,3682.6,G00102,1956,1956-05-18 07:00:00,1956-05-31 10:47:00,Person,Prince George Fire Centre
83,POINT (-124.63201719501438 53.96300558486107),53.963,-124.632,2460.4,G00078,1956,1956-05-18 20:00:00,1956-05-24 18:24:00,Person,Prince George Fire Centre
84,POINT (-120.48001739896557 56.260006202673104),56.26,-120.48,1788.7,G00091,1956,1956-05-18 21:00:00,1956-05-21 15:00:00,Person,Prince George Fire Centre
85,POINT (-121.23001737595564 55.87600609114673),55.876000000000005,-121.23,1019.8000000000001,G00060,1956,1956-05-19 07:00:00,1956-05-19 07:00:00,Person,Prince George Fire Centre
86,POINT (-122.6240181027127 56.934005926864344),56.934000000000005,-122.62400000000001,1100.7,G00110,1956,1956-05-19 07:00:00,1956-05-19 07:00:00,Person,Prince George Fire Centre
87,POINT (-120.98001721152866 55.59700611550662),55.597,-120.98,1294.9,G00064,1956,1956-05-20 07:00:00,1956-05-20 07:00:00,Person,Prince George Fire Centre
88,POINT (-121.86801862263067 58.28900606150747),58.289,-121.86800000000001,27143.100000000002,G00165,1956,1956-05-20 07:00:00,1956-05-20 07:30:00,Unknown,Prince George Fire Centre
89,POINT (-121.17801724818246 55.597006089171536),55.597,-121.17800000000001,1764.4,G00063,1956,1956-05-20 19:00:00,1956-05-21 16:00:00,Unknown,Prince George Fire Centre
90,POINT (-120.87401742899601 56.15500614695002),56.155,-120.87400000000001,1543.8,G00061,1956,1956-05-20 20:00:00,1956-05-21 18:00:00,Person,Prince George Fire Centre
91,POINT (-121.62401769155647 56.43400605290412),56.434000000000005,-121.62400000000001,1715.8,G00132,1956,1956-05-20 20:00:00,1956-05-23 02:12:00,Person,Prince George Fire Centre
92,POINT (-120.32001749011702 56.53900623301722),56.539,-120.32000000000001,1185.7,G00084,1956,1956-05-20 21:00:00,1956-05-24 02:00:00,Person,Prince George Fire Centre
93,POINT (-121.01701767624257 56.6550061413255),56.655,-121.01700000000001,1011.7,G00081,1956,1956-05-22 07:00:00,1956-05-22 07:00:00,Person,Prince George Fire Centre
94,POINT (-122.37401788995277 56.568005953117044),56.568000000000005,-122.37400000000001,3625.9,G00109,1956,1956-05-23 07:00:00,1956-05-26 15:06:00,Unknown,Prince George Fire Centre
95,POINT (-124.92501860850342 57.1550056086397),57.155,-124.92500000000001,2023.4,G00107,1956,1956-05-25 07:00:00,1956-05-25 07:00:00,Person,Prince George Fire Centre
96,POINT (-122.42301896379935 58.74200599013974),58.742000000000004,-122.423,26304.600000000002,G00125,1956,1956-05-28 07:00:00,1956-05-28 07:06:00,Unknown,Prince George Fire Centre
97,POINT (-125.58701667685382 52.09700541147564),52.097,-125.587,2144.8,C00005,1956,1956-08-10 07:00:00,1956-08-19 08:00:00,Lightning,Cariboo Fire Centre
98,POINT (-123.37101856766137 57.626005836229155),57.626000000000005,-123.37100000000001,1335.4,G00027,1957,1957-04-01 07:00:00,1957-04-01 07:00:00,Person,Prince George Fire Centre
99,POINT (-130.97901959050114 57.34700473439816),57.347,-130.979,1513.5,R00049,1957,1957-06-07 07:00:00,1957-06-07 07:00:00,Lightning,Northwest Fire Centre
100,POINT (-123.01201865670782 57.93400589241576),57.934000000000005,-123.012,2104.3,G00015,1958,1958-04-30 07:00:00,1958-04-30 10:59:00,Person,Prince George Fire Centre
101,POINT (-124.5700182730717 56.56800564908524),56.568000000000005,-124.57000000000001,4815.7,G00152,1958,1958-05-01 07:00:00,1958-05-01 20:36:00,Person,Prince George Fire Centre
102,POINT (-120.42301857222938 58.74200627538723),58.742000000000004,-120.423,1553.9,G00052,1958,1958-05-13 07:00:00,1958-05-13 07:00:00,Person,Prince George Fire Centre
103,POINT (-124.13801623925481 51.43400557245964),51.434000000000005,-124.138,1375.9,C00151,1958,1958-05-15 07:00:00,1958-05-15 07:00:00,Person,Cariboo Fire Centre
104,POINT (-121.32501727636428 55.59700606981928),55.597,-121.325,1883.8,G00108,1958,1958-05-18 23:00:00,1958-06-04 09:00:00,Person,Prince George Fire Centre
105,POINT (-121.86801871200933 58.46300606438858),58.463,-121.86800000000001,33151.801,G00085,1958,1958-05-19 07:00:00,1958-05-19 07:00:00,Person,Prince George Fire Centre
106,POINT (-122.43001704802607 54.5390058909465),54.539,-122.43,2105.1,G00107,1958,1958-05-21 07:00:00,1958-05-21 08:00:00,Lightning,Prince George Fire Centre
107,POINT (-123.07901697872097 54.06800579226272),54.068000000000005,-123.07900000000001,1117.3,G00095,1958,1958-05-22 04:00:00,1958-05-22 08:23:00,Lightning,Prince George Fire Centre
108,POINT (-130.0070201533687 58.655004874407446),58.655,-130.007,17736.100000000002,R00026,1958,1958-05-22 07:00:00,1958-05-23 08:00:00,Person,Northwest Fire Centre
109,POINT (-127.3650199646393 59.010005269698375),59.01,-127.36500000000001,285935.094,G00117,1958,1958-05-22 07:00:00,1958-05-22 07:00:00,Person,Prince George Fire Centre
110,POINT (-124.09101633043613 51.74200558893984),51.742000000000004,-124.09100000000001,2630.4,C00143,1958,1958-05-22 07:00:00,1958-05-23 12:06:00,Unknown,Cariboo Fire Centre
111,POINT (-125.12401844534863 56.74200557395189),56.742000000000004,-125.12400000000001,22014.9,G00161,1958,1958-05-23 21:00:00,1958-05-23 21:06:00,Lightning,Prince George Fire Centre
112,POINT (-124.87101861298443 57.184005616594696),57.184000000000005,-124.87100000000001,2929.9,G00154,1958,1958-05-24 00:00:00,1958-05-24 00:00:00,Lightning,Prince George Fire Centre
113,POINT (-122.62901710574214 54.597005866632784),54.597,-122.629,1222.9,G00104,1958,1958-05-24 22:00:00,1958-05-25 05:36:00,Lightning,Prince George Fire Centre
114,POINT (-123.22901834357451 57.213005848227915),57.213,-123.229,4143.9,G00126,1958,1958-05-25 07:00:00,1958-05-25 07:00:00,Lightning,Prince George Fire Centre
115,POINT (-122.73001774480885 56.09700589381005),56.097,-122.73,1651.1000000000001,G00157,1958,1958-05-25 07:00:00,1958-05-29 15:06:00,Person,Prince George Fire Centre
116,POINT (-122.56201897401385 58.71300596953329),58.713,-122.56200000000001,2460.4,G00129,1958,1958-05-25 07:00:00,1958-05-29 05:36:00,Person,Prince George Fire Centre
117,POINT (-123.0120182074425 57.01000587485523),57.01,-123.012,2136.7,G00128,1958,1958-05-26 02:00:00,1958-05-26 02:00:00,Lightning,Prince George Fire Centre
118,POINT (-124.98201635927059 51.40500546619306),51.405,-124.982,3035.1,C00150,1958,1958-05-26 07:00:00,1958-05-26 07:00:00,Person,Cariboo Fire Centre
119,POINT (-128.36502063959378 59.90500511867775),59.905,-128.365,18562.9,G00143,1958,1958-05-27 22:00:00,1958-07-05 04:00:00,Person,Prince George Fire Centre
120,POINT (-127.12101900118815 57.2420052962158),57.242000000000004,-127.12100000000001,1926.3,G00203,1958,1958-05-28 07:00:00,1958-05-28 07:06:00,Lightning,Prince George Fire Centre
121,POINT (-126.57001876668905 56.934005371668746),56.934000000000005,-126.57000000000001,9323.9,G00206,1958,1958-05-28 07:00:00,1958-05-28 07:06:00,Person,Prince George Fire Centre
122,POINT (-125.31601891836783 57.65500555926026),57.655,-125.316,1926.3,G00205,1958,1958-05-28 07:00:00,1958-05-28 07:06:00,Lightning,Prince George Fire Centre
123,POINT (-125.72901894275954 57.56800549873635),57.568000000000005,-125.729,2800.4,G00204,1958,1958-05-28 07:00:00,1958-05-28 07:06:00,Lightning,Prince George Fire Centre
124,POINT (-131.86502112608662 59.905004580695675),59.905,-131.865,4402.900000000001,G00167,1958,1958-05-31 02:00:00,1958-06-09 03:11:00,Person,Prince George Fire Centre
125,POINT (-130.61802006677163 58.34700478452651),58.347,-130.618,27308.600000000002,R00208,1958,1958-06-01 07:00:00,1958-06-01 10:24:00,Lightning,Northwest Fire Centre
126,POINT (-130.31201989264326 58.09700483068947),58.097,-130.312,12431.9,R00045,1958,1958-06-04 07:00:00,1958-06-04 08:00:00,Lightning,Northwest Fire Centre
127,POINT (-130.0620202189995 58.760004865804014),58.76,-130.062,5842.8,R00047,1958,1958-06-04 22:00:00,1958-06-05 02:05:00,Person,Northwest Fire Centre
128,POINT (-122.7780171963794 54.76000585150896),54.76,-122.778,1633.3,G00175,1958,1958-06-05 21:00:00,1958-06-06 11:41:00,Lightning,Prince George Fire Centre
129,POINT (-124.13201695635117 53.53900563911039),53.539,-124.132,2722.3,G00185,1958,1958-06-06 02:00:00,1958-06-24 17:54:00,Lightning,Prince George Fire Centre
130,POINT (-123.92701815128223 56.539005737955435),56.539,-123.927,1003.6,G00318,1958,1958-06-21 02:00:00,1958-06-21 02:06:00,Lightning,Prince George Fire Centre
131,POINT (-122.17801733981983 55.37600594957305),55.376000000000005,-122.17800000000001,8919.2,G00228,1958,1958-06-23 22:00:00,1958-06-23 22:06:00,Lightning,Prince George Fire Centre
132,POINT (-125.59101653181179 51.65500539778403),51.655,-125.59100000000001,2468.5,VD0212,1958,1958-06-26 07:00:00,1958-07-05 07:00:00,Lightning,Costal Fire Centre
133,POINT (-124.98001800568669 55.81800557839373),55.818000000000005,-124.98,1329.3,G00358,1958,1958-06-28 07:00:00,1958-06-28 07:00:00,Lightning,Prince George Fire Centre
134,POINT (-123.72901911300846 58.56800579976334),58.568000000000005,-123.729,14682.0,G00268,1958,1958-07-01 00:00:00,1958-07-01 00:06:00,Person,Prince George Fire Centre
135,POINT (-126.42801820872786 55.76000537672321),55.76,-126.42800000000001,4694.3,G00357,1958,1958-07-01 07:00:00,1958-07-01 07:06:00,Lightning,Prince George Fire Centre
136,POINT (-129.11502040415868 59.31800500695795),59.318000000000005,-129.115,7769.900000000001,G00278,1958,1958-07-03 07:00:00,1958-07-03 11:05:00,Lightning,Prince George Fire Centre
137,POINT (-128.82901812239768 54.74200503222418),54.742000000000004,-128.829,3411.5,R00073,1958,1958-07-03 20:00:00,1958-07-03 21:36:00,Person,Northwest Fire Centre
138,POINT (-121.73301524655993 49.3760057733651),49.376000000000005,-121.733,2940.8,V00238,1958,1958-07-05 07:00:00,1958-07-05 09:06:00,Lightning,Costal Fire Centre
139,POINT (-130.92301998757384 58.12600473925876),58.126000000000005,-130.923,20222.5,R00120,1958,1958-07-05 07:00:00,1958-07-05 08:00:00,Lightning,Northwest Fire Centre
140,POINT (-125.55401589556588 49.568005335378935),49.568000000000005,-125.554,2695.6,V00912,1958,1958-07-05 07:00:00,1958-07-05 15:00:00,Lightning,Costal Fire Centre
141,POINT (-126.77301817834802 55.568005326762936),55.568000000000005,-126.77300000000001,1035.9,R00091,1958,1958-07-05 19:00:00,1958-07-06 04:00:00,Lightning,Northwest Fire Centre
142,POINT (-131.3680199979699 58.0390046731706),58.039,-131.368,8702.3,R00122,1958,1958-07-05 22:00:00,1958-07-06 05:12:00,Lightning,Northwest Fire Centre
143,POINT (-121.48301533293488 49.84700582523949),49.847,-121.483,1307.1000000000001,V00273,1958,1958-07-06 02:00:00,1958-07-06 03:06:00,Lightning,Costal Fire Centre
144,POINT (-128.38201767303255 53.76000508104455),53.76,-128.382,2874.8,R00103,1958,1958-07-06 07:00:00,1958-07-08 01:30:00,Lightning,Northwest Fire Centre
145,POINT (-128.82501843955407 55.49200503915098),55.492000000000004,-128.82500000000002,1659.2,R00129,1958,1958-07-06 07:00:00,1958-07-06 07:00:00,Lightning,Northwest Fire Centre
146,POINT (-128.2730184472529 55.68400511878213),55.684000000000005,-128.273,2019.3,R00176,1958,1958-07-06 07:00:00,1958-07-07 07:06:00,Lightning,Northwest Fire Centre
147,POINT (-130.3160193958492 57.12600483197445),57.126000000000005,-130.316,31658.600000000002,R00207,1958,1958-07-06 07:00:00,1958-07-06 07:00:00,Lightning,Northwest Fire Centre
148,POINT (-128.62401870599595 56.15500507282844),56.155,-128.624,12100.5,R00164,1958,1958-07-06 07:00:00,1958-07-06 07:00:00,Lightning,Northwest Fire Centre
149,POINT (-126.5440166515738 51.59700527689626),51.597,-126.54400000000001,1566.9,R00193,1958,1958-07-06 07:00:00,1958-07-12 11:00:00,Lightning,Northwest Fire Centre
150,POINT (-126.6850166538967 51.539005257283556),51.539,-126.685,1152.1000000000001,R00195,1958,1958-07-07 03:00:00,1958-07-13 09:00:00,Lightning,Northwest Fire Centre
151,POINT (-126.29401669874393 51.84700531484328),51.847,-126.29400000000001,3045.6,R00196,1958,1958-07-07 03:00:00,1958-07-07 03:00:00,Lightning,Northwest Fire Centre
152,POINT (-126.73001817158438 55.56800533270092),55.568000000000005,-126.73,12820.4,R00151,1958,1958-07-07 07:00:00,1958-08-17 09:00:00,Lightning,Northwest Fire Centre
153,POINT (-131.9220211519181 59.93400457169118),59.934000000000005,-131.922,1035.9,G00295,1958,1958-07-07 07:00:00,1958-07-07 08:06:00,Lightning,Prince George Fire Centre
154,POINT (-128.62601837515518 55.40500506603651),55.405,-128.626,2403.4,R00128,1958,1958-07-07 07:00:00,1958-07-07 07:00:00,Lightning,Northwest Fire Centre
155,POINT (-123.54901576776776 50.18400559711909),50.184000000000005,-123.549,1222.1000000000001,V00908,1958,1958-07-07 07:00:00,1958-07-17 05:30:00,Lightning,Costal Fire Centre
