,geometry,LATITUDE,LONGITUDE,CURRENT_SIZE,FIRE_NUMBER,FIRE_YEAR,IGNITION_DATE,FIRE_OUT_DATE,FIRE_CAUSE,FIRE_CENTRE
1102,POINT (-120.42324899857653 52.62935607902167),52.629400000000004,-120.42320000000001,1512.0,C31947,2021,2021-07-15 20:30:20,2021-11-15 21:51:29,Lightning,Cariboo Fire Centre
1103,POINT (-118.63708185224787 49.93145615840588),49.9315,-118.6371,5080.5,K42042,2021,2021-07-17 16:52:53,2021-11-01 19:47:38,Lightning,Kamloops Fire Centre
1104,POINT (-120.67458201513837 49.18583888534568),49.1858,-120.67460000000001,14735.300000000001,K62088,2021,2021-07-19 18:24:54,2021-11-22 00:19:46,Person,Kamloops Fire Centre
1105,POINT (-119.48618178139904 49.08920601377539),49.089200000000005,-119.48620000000001,19335.0,K52061,2021,2021-07-19 22:36:19,2021-10-29 15:34:17,Person,Kamloops Fire Centre
1106,POINT (-118.98276515984124 50.79520616529681),50.7952,-118.98280000000001,2499.0,K42078,2021,2021-07-20 17:28:08,2021-10-22 20:24:39,Person,Kamloops Fire Centre
1107,POINT (-118.27394796423128 50.572889236034534),50.572900000000004,-118.27390000000001,1122.0,K42140,2021,2021-07-21 22:05:05,2021-10-13 20:19:05,Lightning,Kamloops Fire Centre
1108,POINT (-119.9537328060819 52.30375612278298),52.3038,-119.95370000000001,2169.0,K22230,2021,2021-07-25 23:06:11,2021-09-09 21:14:50,Lightning,Kamloops Fire Centre
1109,POINT (-120.51333389549207 55.03557315980728),55.0356,-120.5133,2512.0,G72463,2021,2021-08-02 21:13:28,2021-11-18 20:34:15,Lightning,Prince George Fire Centre
1110,POINT (-120.59351670245943 54.50417313027134),54.504200000000004,-120.5935,6500.0,G72511,2021,2021-08-09 02:04:17,2021-11-18 20:34:01,Lightning,Prince George Fire Centre
1111,POINT (-122.4928004594318 55.529338910886516),55.5293,-122.4928,2542.0,G72591,2021,2021-08-13 21:00:37,2021-11-18 19:30:09,Person,Prince George Fire Centre
1112,POINT (-121.43834809407021 48.99225578853557),48.9923,-121.43830000000001,1200.0,V12079,2022,2021-08-23 15:00:49,2022-11-07 17:54:24,Person,Costal Fire Centre
1113,POINT (-127.58818675975552 58.575788235670544),58.5758,-127.5882,1608.0,G90313,2022,2022-06-16 22:12:20,2023-06-19 19:22:58,Lightning,Prince George Fire Centre
1114,POINT (-122.94068479907845 56.13733886548518),56.1373,-122.9407,1661.7,G60782,2022,2022-06-23 02:14:00,2022-11-03 21:03:09,Lightning,Prince George Fire Centre
1115,POINT (-129.45227071368924 59.7615719531075),59.7616,-129.4523,12330.0,R90436,2022,2022-06-30 21:00:16,2022-10-27 20:06:42,Lightning,Northwest Fire Centre
1116,POINT (-131.28425373972877 59.38548767608795),59.3855,-131.2842,1100.0,R90474,2022,2022-07-01 20:30:29,2022-10-27 20:06:53,Lightning,Northwest Fire Centre
1117,POINT (-117.07584754491212 49.89000633270793),49.89,-117.0758,1924.0,N70969,2022,2022-07-01 21:59:14,2022-11-08 17:03:09,Lightning,Southeast Fire Centre
1118,POINT (-121.60271546547831 50.24078883032422),50.2408,-121.60270000000001,4564.0,K70580,2022,2022-07-14 19:15:00,2022-11-04 14:32:19,Person,Kamloops Fire Centre
1119,POINT (-115.70536450667844 50.736756540078424),50.7368,-115.70540000000001,1333.0,N20881,2022,2022-07-29 17:13:48,2022-10-31 14:58:03,Lightning,Southeast Fire Centre
1120,POINT (-119.8207982447237 49.36700599160784),49.367000000000004,-119.8208,7042.0,K50863,2022,2022-07-29 22:54:54,2022-11-07 21:34:16,Person,Kamloops Fire Centre
1121,POINT (-115.61653110560736 49.30863945615512),49.308600000000006,-115.6165,1719.2,N10989,2022,2022-08-01 19:12:07,2022-10-26 19:53:01,Lightning,Southeast Fire Centre
1122,POINT (-114.71193084445494 49.00170653271679),49.0017,-114.7119,1245.51,N11062,2022,2022-08-04 21:33:18,2022-10-26 19:54:02,Lightning,Southeast Fire Centre
1123,POINT (-121.15943206092292 49.04058882234946),49.040600000000005,-121.1594,1250.0,V11952,2022,2022-08-11 02:56:00,2022-12-02 17:53:37,Lightning,Costal Fire Centre
1124,POINT (-122.20863255360256 50.19543875665148),50.1954,-122.2086,3012.0,K71440,2022,2022-08-13 23:00:00,2022-11-04 14:32:51,Lightning,Kamloops Fire Centre
1125,POINT (-122.1234486514873 50.58283878391718),50.5828,-122.1234,1201.0,K71717,2022,2022-08-21 01:00:00,2022-11-04 14:33:23,Lightning,Kamloops Fire Centre
1126,POINT (-120.73161498025429 49.011472869312044),49.011500000000005,-120.7316,14970.0,V11746,2022,2022-08-21 19:09:00,2022-11-07 17:56:11,Lightning,Costal Fire Centre
1127,POINT (-122.49880052631543 55.684372914781186),55.684400000000004,-122.4988,1793.0,G71778,2022,2022-08-22 21:18:46,2023-06-19 15:35:00,Lightning,Prince George Fire Centre
